channel_idx,acc
0,98.64899974019225
26,98.64899974019225
27,98.64899974019225
30,98.64899974019225
31,98.64899974019225
33,98.64899974019225
34,98.64899974019225
36,98.64899974019225
37,98.64899974019225
38,98.64899974019225
25,98.64899974019225
39,98.64899974019225
41,98.64899974019225
44,98.64899974019225
45,98.64899974019225
47,98.64899974019225
48,98.64899974019225
49,98.64899974019225
50,98.64899974019225
53,98.64899974019225
55,98.64899974019225
40,98.64899974019225
24,98.64899974019225
59,98.64899974019225
9,98.64899974019225
2,98.64899974019225
12,98.64899974019225
13,98.64899974019225
17,98.64899974019225
14,98.64899974019225
15,98.64899974019225
23,98.64899974019225
6,98.64899974019225
51,98.64033948211657
32,98.64033948211657
22,98.63167922404088
21,98.65765999826795
20,98.64899974019225
19,98.6056984498138
43,98.57105741751104
58,98.53641638520828
3,98.19000606218066
42,97.65307006148784
1,97.50584567420108
29,95.75647354291158
16,95.20221702606739
56,94.7172425738287
46,92.09318437689443
5,91.49562656967177
8,91.01931237550879
11,89.17467740538669
54,84.43751623798389
10,76.48739932449988
28,54.8627349095003
35,27.08928726076037
18,13.87373343725643
4,7.101411622066338
7,1.5501861955486274
52,0.7188014202823244
57,0.0779423226812159
